M,D,A,Cy,Cx,Cya,Cxa,Cxdn,mz
0.6,-30,-40,-6.075,2.185,-3.249,5.811,0.001,-65.159
0.6,-30,-36,-5.082,2.243,-2.793,5.022,0.001,-61.43
0.6,-30,-32,-4.356,2.292,-2.48,4.454,0.001,-57.651
0.6,-30,-28,-3.768,2.33,-2.233,4.008,0.001,-53.847
0.6,-30,-24,-3.266,2.358,-2.024,3.64,0.001,-50.027
0.6,-30,-20,-2.831,2.374,-1.849,3.331,0.001,-46.197
0.6,-30,-16,-2.437,2.379,-1.687,3.063,0.001,-42.359
0.6,-30,-12,-2.081,2.374,-1.542,2.831,0.001,-38.513
0.6,-30,-8,-1.756,2.357,-1.411,2.628,0.001,-34.66
0.6,-30,-4,-1.459,2.331,-1.293,2.45,0.001,-30.801
0.6,-30,0,-1.192,2.295,-1.192,2.295,0.001,-26.935
0.6,-30,4,-0.892,2.249,-1.047,2.157,0.001,-23.066
0.6,-30,8,-0.498,2.196,-0.799,2.053,0.001,-19.201
0.6,-30,12,-0.013,2.135,-0.457,2.001,0.001,-15.339
0.6,-30,16,0.559,2.068,-0.033,2.022,0.001,-11.478
0.6,-30,20,1.218,1.997,0.462,2.135,0.001,-7.617
0.6,-30,24,1.959,1.923,1.008,2.357,0.001,-3.738
0.6,-30,28,2.801,1.848,1.606,2.709,0.001,0.077
0.6,-30,32,3.758,1.772,2.248,3.217,0.001,3.925
0.6,-30,36,4.87,1.696,2.943,3.919,0.001,7.766
0.6,-30,40,6.254,1.624,3.747,4.912,0.001,11.603
0.6,-20,-40,-6.549,2.197,-3.605,6.065,0.001,-56.332
0.6,-20,-36,-5.518,2.215,-3.162,5.197,0.001,-52.537
0.6,-20,-32,-4.741,2.226,-2.841,4.548,0.001,-48.726
0.6,-20,-28,-4.09,2.229,-2.564,4.019,0.001,-44.903
0.6,-20,-24,-3.514,2.225,-2.305,3.575,0.001,-41.072
0.6,-20,-20,-2.998,2.215,-2.06,3.2,0.001,-37.235
0.6,-20,-16,-2.518,2.198,-1.815,2.88,0.001,-33.391
0.6,-20,-12,-2.074,2.175,-1.577,2.612,0.001,-29.542
0.6,-20,-8,-1.663,2.147,-1.348,2.392,0.001,-25.686
0.6,-20,-4,-1.283,2.114,-1.133,2.214,0.001,-21.825
0.6,-20,0,-0.94,2.076,-0.94,2.076,0.001,-17.956
0.6,-20,4,-0.573,2.034,-0.714,1.972,0.001,-14.086
0.6,-20,8,-0.122,1.988,-0.398,1.916,0.001,-10.22
0.6,-20,12,0.406,1.94,-0.006,1.925,0.001,-6.355
0.6,-20,16,1.009,1.891,0.449,2.015,0.001,-2.479
0.6,-20,20,1.688,1.84,0.956,2.201,0.001,1.355
0.6,-20,24,2.443,1.789,1.504,2.498,0.001,5.206
0.6,-20,28,3.292,1.739,2.091,2.925,0.001,9.052
0.6,-20,32,4.242,1.691,2.701,3.501,0.001,12.893
0.6,-20,36,5.333,1.649,3.346,4.263,0.001,16.731
0.6,-20,40,6.683,1.613,4.083,5.304,0.001,20.566
0.6,-10,-40,-6.907,2.084,-3.952,6.13,0.001,-47.417
0.6,-10,-36,-5.804,2.076,-3.476,5.178,0.001,-43.602
0.6,-10,-32,-4.946,2.065,-3.101,4.451,0.001,-39.778
0.6,-10,-28,-4.207,2.052,-2.751,3.856,0.001,-35.947
0.6,-10,-24,-3.54,2.037,-2.406,3.36,0.001,-32.11
0.6,-10,-20,-2.934,2.021,-2.066,2.951,0.001,-28.268
0.6,-10,-16,-2.366,2.003,-1.722,2.615,0.001,-24.421
0.6,-10,-12,-1.839,1.984,-1.386,2.35,0.001,-20.569
0.6,-10,-8,-1.352,1.963,-1.066,2.15,0.001,-16.712
0.6,-10,-4,-0.909,1.941,-0.771,2.008,0.001,-12.848
0.6,-10,0,-0.513,1.918,-0.513,1.918,0.001,-8.978
0.6,-10,4,-0.108,1.893,-0.239,1.873,0.001,-5.106
0.6,-10,8,0.367,1.869,0.103,1.884,0.001,-1.231
0.6,-10,12,0.908,1.843,0.505,1.964,0.001,2.621
0.6,-10,16,1.519,1.818,0.959,2.127,0.001,6.477
0.6,-10,20,2.197,1.793,1.452,2.385,0.001,10.329
0.6,-10,24,2.937,1.77,1.963,2.748,0.001,14.176
0.6,-10,28,3.756,1.75,2.495,3.232,0.001,18.019
0.6,-10,32,4.661,1.734,3.034,3.853,0.001,21.858
0.6,-10,36,5.695,1.723,3.595,4.643,0.001,25.693
0.6,-10,40,6.978,1.719,4.24,5.694,0.001,29.524
0.6,0,-40,-7.062,1.9,-4.189,5.994,0.001,-38.476
0.6,0,-36,-5.868,1.887,-3.639,4.975,0.001,-34.651
0.6,0,-32,-4.917,1.877,-3.176,4.197,0.001,-30.82
0.6,0,-28,-4.086,1.869,-2.731,3.569,0.001,-26.985
0.6,0,-24,-3.333,1.865,-2.286,3.059,0.001,-23.144
0.6,0,-20,-2.646,1.862,-1.849,2.655,0.001,-19.299
0.6,0,-16,-2.007,1.861,-1.416,2.342,0.001,-15.45
0.6,0,-12,-1.42,1.861,-1.002,2.115,0.001,-11.596
0.6,0,-8,-0.887,1.861,-0.62,1.966,0.001,-7.737
0.6,0,-4,-0.412,1.861,-0.281,1.885,0.001,-3.872
0.6,0,0,0,1.861,0,1.861,0.001,0
0.6,0,4,0.412,1.861,0.281,1.885,0.001,3.872
0.6,0,8,0.887,1.861,0.62,1.966,0.001,7.737
0.6,0,12,1.42,1.861,1.002,2.115,0.001,11.596
0.6,0,16,2.007,1.861,1.416,2.342,0.001,15.45
0.6,0,20,2.646,1.862,1.849,2.655,0.001,19.299
0.6,0,24,3.333,1.865,2.286,3.059,0.001,23.144
0.6,0,28,4.086,1.869,2.731,3.569,0.001,26.985
0.6,0,32,4.917,1.877,3.176,4.197,0.001,30.82
0.6,0,36,5.868,1.887,3.639,4.975,0.001,34.651
0.6,0,40,7.062,1.9,4.189,5.994,0.001,38.476
0.6,10,-40,-6.978,1.719,-4.24,5.694,0.001,-29.524
0.6,10,-36,-5.695,1.723,-3.595,4.643,0.001,-25.693
0.6,10,-32,-4.661,1.734,-3.034,3.853,0.001,-21.858
0.6,10,-28,-3.756,1.75,-2.495,3.232,0.001,-18.019
0.6,10,-24,-2.937,1.77,-1.963,2.748,0.001,-14.176
0.6,10,-20,-2.197,1.793,-1.452,2.385,0.001,-10.329
0.6,10,-16,-1.519,1.818,-0.959,2.127,0.001,-6.477
0.6,10,-12,-0.908,1.843,-0.505,1.964,0.001,-2.621
0.6,10,-8,-0.367,1.869,-0.103,1.884,0.001,1.231
0.6,10,-4,0.108,1.893,0.239,1.873,0.001,5.106
0.6,10,0,0.513,1.918,0.513,1.918,0.001,8.978
0.6,10,4,0.909,1.941,0.771,2.008,0.001,12.848
0.6,10,8,1.352,1.963,1.066,2.15,0.001,16.712
0.6,10,12,1.839,1.984,1.386,2.35,0.001,20.569
0.6,10,16,2.366,2.003,1.722,2.615,0.001,24.421
0.6,10,20,2.934,2.021,2.066,2.951,0.001,28.268
0.6,10,24,3.54,2.037,2.406,3.36,0.001,32.11
0.6,10,28,4.207,2.052,2.751,3.856,0.001,35.947
0.6,10,32,4.946,2.065,3.101,4.451,0.001,39.778
0.6,10,36,5.804,2.076,3.476,5.178,0.001,43.602
0.6,10,40,6.907,2.084,3.952,6.13,0.001,47.417
0.6,20,-40,-6.683,1.613,-4.083,5.304,0.001,-20.566
0.6,20,-36,-5.333,1.649,-3.346,4.263,0.001,-16.731
0.6,20,-32,-4.242,1.691,-2.701,3.501,0.001,-12.893
0.6,20,-28,-3.292,1.739,-2.091,2.925,0.001,-9.052
0.6,20,-24,-2.443,1.789,-1.504,2.498,0.001,-5.206
0.6,20,-20,-1.688,1.84,-0.956,2.201,0.001,-1.355
0.6,20,-16,-1.009,1.891,-0.449,2.015,0.001,2.479
0.6,20,-12,-0.406,1.94,0.006,1.925,0.001,6.355
0.6,20,-8,0.122,1.988,0.398,1.916,0.001,10.22
0.6,20,-4,0.573,2.034,0.714,1.972,0.001,14.086
0.6,20,0,0.94,2.076,0.94,2.076,0.001,17.956
0.6,20,4,1.283,2.114,1.133,2.214,0.001,21.825
0.6,20,8,1.663,2.147,1.348,2.392,0.001,25.686
0.6,20,12,2.074,2.175,1.577,2.612,0.001,29.542
0.6,20,16,2.518,2.198,1.815,2.88,0.001,33.391
0.6,20,20,2.998,2.215,2.06,3.2,0.001,37.235
0.6,20,24,3.514,2.225,2.305,3.575,0.001,41.072
0.6,20,28,4.09,2.229,2.564,4.019,0.001,44.903
0.6,20,32,4.741,2.226,2.841,4.548,0.001,48.726
0.6,20,36,5.518,2.215,3.162,5.197,0.001,52.537
0.6,20,40,6.549,2.197,3.605,6.065,0.001,56.332
0.6,30,-40,-6.254,1.624,-3.747,4.912,0.001,-11.603
0.6,30,-36,-4.87,1.696,-2.943,3.919,0.001,-7.766
0.6,30,-32,-3.758,1.772,-2.248,3.217,0.001,-3.925
0.6,30,-28,-2.801,1.848,-1.606,2.709,0.001,-0.077
0.6,30,-24,-1.959,1.923,-1.008,2.357,0.001,3.738
0.6,30,-20,-1.218,1.997,-0.462,2.135,0.001,7.617
0.6,30,-16,-0.559,2.068,0.033,2.022,0.001,11.478
0.6,30,-12,0.013,2.135,0.457,2.001,0.001,15.339
0.6,30,-8,0.498,2.196,0.799,2.053,0.001,19.201
0.6,30,-4,0.892,2.249,1.047,2.157,0.001,23.066
0.6,30,0,1.192,2.295,1.192,2.295,0.001,26.935
0.6,30,4,1.459,2.331,1.293,2.45,0.001,30.801
0.6,30,8,1.756,2.357,1.411,2.628,0.001,34.66
0.6,30,12,2.081,2.374,1.542,2.831,0.001,38.513
0.6,30,16,2.437,2.379,1.687,3.063,0.001,42.359
0.6,30,20,2.831,2.374,1.849,3.331,0.001,46.197
0.6,30,24,3.266,2.358,2.024,3.64,0.001,50.027
0.6,30,28,3.768,2.33,2.233,4.008,0.001,53.847
0.6,30,32,4.356,2.292,2.48,4.454,0.001,57.651
0.6,30,36,5.082,2.243,2.793,5.022,0.001,61.43
0.6,30,40,6.075,2.185,3.249,5.811,0.001,65.159
0.9,-30,-40,-8.876,2.104,-5.447,7.477,0.002,-77.969
0.9,-30,-36,-7.527,2.175,-4.811,6.337,0.002,-73.377
0.9,-30,-32,-6.16,2.236,-4.039,5.303,0.002,-68.734
0.9,-30,-28,-4.76,2.284,-3.131,4.38,0.002,-64.066
0.9,-30,-24,-3.706,2.318,-2.443,3.739,0.002,-59.382
0.9,-30,-20,-3.092,2.339,-2.105,3.351,0.002,-54.688
0.9,-30,-16,-2.641,2.346,-1.892,3.059,0.002,-49.985
0.9,-30,-12,-2.268,2.337,-1.733,2.815,0.002,-45.275
0.9,-30,-8,-1.935,2.315,-1.594,2.6,0.002,-40.56
0.9,-30,-4,-1.63,2.279,-1.467,2.406,0.002,-35.839
0.9,-30,0,-1.346,2.23,-1.346,2.23,0.002,-31.113
0.9,-30,4,-1.024,2.169,-1.173,2.074,0.002,-26.384
0.9,-30,8,-0.607,2.098,-0.893,1.953,0.002,-21.657
0.9,-30,12,-0.092,2.017,-0.509,1.89,0.002,-16.93
0.9,-30,16,0.528,1.93,-0.025,1.912,0.002,-12.203
0.9,-30,20,1.282,1.838,0.576,2.05,0.002,-7.473
0.9,-30,24,2.248,1.745,1.344,2.366,0.002,-2.8
0.9,-30,28,3.695,1.65,2.488,3.021,0.002,1.95
0.9,-30,32,5.52,1.557,3.856,4.048,0.002,6.663
0.9,-30,36,7.332,1.467,5.069,5.272,0.002,11.37
0.9,-30,40,9.129,1.384,6.104,6.68,0.002,16.074
0.9,-20,-40,-9.399,2.107,-5.846,7.776,0.002,-67.749
0.9,-20,-36,-8.007,2.134,-5.224,6.545,0.002,-63.092
0.9,-20,-32,-6.58,2.151,-4.441,5.414,0.002,-58.418
0.9,-20,-28,-5.108,2.158,-3.497,4.397,0.002,-53.731
0.9,-20,-24,-3.971,2.157,-2.75,3.667,0.002,-49.036
0.9,-20,-20,-3.265,2.147,-2.334,3.202,0.002,-44.333
0.9,-20,-16,-2.718,2.128,-2.026,2.849,0.002,-39.625
0.9,-20,-12,-2.248,2.101,-1.762,2.563,0.002,-34.912
0.9,-20,-8,-1.819,2.066,-1.513,2.325,0.002,-30.194
0.9,-20,-4,-1.422,2.024,-1.277,2.131,0.002,-25.47
0.9,-20,0,-1.054,1.975,-1.054,1.975,0.002,-20.742
0.9,-20,4,-0.658,1.92,-0.79,1.857,0.002,-16.011
0.9,-20,8,-0.179,1.861,-0.436,1.791,0.002,-11.282
0.9,-20,12,0.384,1.799,0.002,1.796,0.002,-6.553
0.9,-20,16,1.037,1.736,0.518,1.895,0.002,-1.856
0.9,-20,20,1.814,1.671,1.133,2.114,0.002,2.887
0.9,-20,24,2.795,1.608,1.9,2.511,0.002,7.603
0.9,-20,28,4.245,1.547,3.022,3.247,0.002,12.314
0.9,-20,32,6.056,1.49,4.347,4.344,0.002,17.022
0.9,-20,36,7.839,1.441,5.495,5.629,0.002,21.726
0.9,-20,40,9.593,1.402,6.448,7.08,0.002,26.427
0.9,-10,-40,-9.796,1.975,-6.235,7.875,0.002,-57.447
0.9,-10,-36,-8.323,1.97,-5.576,6.547,0.002,-52.768
0.9,-10,-32,-6.805,1.961,-4.732,5.325,0.002,-48.079
0.9,-10,-28,-5.236,1.949,-3.708,4.229,0.002,-43.384
0.9,-10,-24,-3.997,1.935,-2.865,3.436,0.002,-38.682
0.9,-10,-20,-3.19,1.917,-2.342,2.928,0.002,-33.975
0.9,-10,-16,-2.545,1.897,-1.923,2.553,0.002,-29.263
0.9,-10,-12,-1.982,1.875,-1.549,2.267,0.002,-24.547
0.9,-10,-8,-1.469,1.85,-1.197,2.05,0.002,-19.826
0.9,-10,-4,-1,1.822,-0.871,1.894,0.002,-15.101
0.9,-10,0,-0.574,1.793,-0.574,1.793,0.002,-10.371
0.9,-10,4,-0.135,1.761,-0.258,1.741,0.002,-5.639
0.9,-10,8,0.37,1.73,0.126,1.751,0.002,-0.922
0.9,-10,12,0.949,1.697,0.575,1.836,0.002,3.815
0.9,-10,16,1.609,1.665,1.088,2.014,0.002,8.535
0.9,-10,20,2.382,1.633,1.679,2.312,0.002,13.252
0.9,-10,24,3.341,1.605,2.4,2.779,0.002,17.964
0.9,-10,28,4.752,1.58,3.454,3.572,0.002,22.673
0.9,-10,32,6.51,1.562,4.694,4.712,0.002,27.378
0.9,-10,36,8.226,1.55,5.744,6.019,0.002,32.079
0.9,-10,40,9.9,1.546,6.591,7.472,0.002,36.775
0.9,0,-40,-9.976,1.762,-6.51,7.762,0.002,-47.117
0.9,0,-36,-8.401,1.749,-5.769,6.353,0.002,-42.428
0.9,0,-32,-6.78,1.739,-4.829,5.068,0.002,-37.731
0.9,0,-28,-5.108,1.732,-3.697,3.927,0.002,-33.03
0.9,0,-24,-3.772,1.728,-2.743,3.113,0.002,-28.324
0.9,0,-20,-2.874,1.726,-2.111,2.605,0.002,-23.614
0.9,0,-16,-2.149,1.725,-1.59,2.251,0.002,-18.9
0.9,0,-12,-1.518,1.726,-1.126,2.004,0.002,-14.181
0.9,0,-8,-0.952,1.727,-0.703,1.842,0.002,-9.459
0.9,0,-4,-0.446,1.727,-0.325,1.754,0.002,-4.732
0.9,0,0,0,1.727,0,1.727,0.002,0
0.9,0,4,0.446,1.727,0.325,1.754,0.002,4.732
0.9,0,8,0.952,1.727,0.703,1.842,0.002,9.459
0.9,0,12,1.518,1.726,1.126,2.004,0.002,14.181
0.9,0,16,2.149,1.725,1.59,2.251,0.002,18.9
0.9,0,20,2.874,1.726,2.111,2.605,0.002,23.614
0.9,0,24,3.772,1.728,2.743,3.113,0.002,28.324
0.9,0,28,5.108,1.732,3.697,3.927,0.002,33.03
0.9,0,32,6.78,1.739,4.829,5.068,0.002,37.731
0.9,0,36,8.401,1.749,5.769,6.353,0.002,42.428
0.9,0,40,9.976,1.762,6.51,7.762,0.002,47.117
0.9,10,-40,-9.9,1.546,-6.591,7.472,0.002,-36.775
0.9,10,-36,-8.226,1.55,-5.744,6.019,0.002,-32.079
0.9,10,-32,-6.51,1.562,-4.694,4.712,0.002,-27.378
0.9,10,-28,-4.752,1.58,-3.454,3.572,0.002,-22.673
0.9,10,-24,-3.341,1.605,-2.4,2.779,0.002,-17.964
0.9,10,-20,-2.382,1.633,-1.679,2.312,0.002,-13.252
0.9,10,-16,-1.609,1.665,-1.088,2.014,0.002,-8.535
0.9,10,-12,-0.949,1.697,-0.575,1.836,0.002,-3.815
0.9,10,-8,-0.37,1.73,-0.126,1.751,0.002,0.922
0.9,10,-4,0.135,1.761,0.258,1.741,0.002,5.639
0.9,10,0,0.574,1.793,0.574,1.793,0.002,10.371
0.9,10,4,1,1.822,0.871,1.894,0.002,15.101
0.9,10,8,1.469,1.85,1.197,2.05,0.002,19.826
0.9,10,12,1.982,1.875,1.549,2.267,0.002,24.547
0.9,10,16,2.545,1.897,1.923,2.553,0.002,29.263
0.9,10,20,3.19,1.917,2.342,2.928,0.002,33.975
0.9,10,24,3.997,1.935,2.865,3.436,0.002,38.682
0.9,10,28,5.236,1.949,3.708,4.229,0.002,43.384
0.9,10,32,6.805,1.961,4.732,5.325,0.002,48.079
0.9,10,36,8.323,1.97,5.576,6.547,0.002,52.768
0.9,10,40,9.796,1.975,6.235,7.875,0.002,57.447
0.9,20,-40,-9.593,1.402,-6.448,7.08,0.002,-26.427
0.9,20,-36,-7.839,1.441,-5.495,5.629,0.002,-21.726
0.9,20,-32,-6.056,1.49,-4.347,4.344,0.002,-17.022
0.9,20,-28,-4.245,1.547,-3.022,3.247,0.002,-12.314
0.9,20,-24,-2.795,1.608,-1.9,2.511,0.002,-7.603
0.9,20,-20,-1.814,1.671,-1.133,2.114,0.002,-2.887
0.9,20,-16,-1.037,1.736,-0.518,1.895,0.002,1.856
0.9,20,-12,-0.384,1.799,-0.002,1.796,0.002,6.553
0.9,20,-8,0.179,1.861,0.436,1.791,0.002,11.282
0.9,20,-4,0.658,1.92,0.79,1.857,0.002,16.011
0.9,20,0,1.054,1.975,1.054,1.975,0.002,20.742
0.9,20,4,1.422,2.024,1.277,2.131,0.002,25.47
0.9,20,8,1.819,2.066,1.513,2.325,0.002,30.194
0.9,20,12,2.248,2.101,1.762,2.563,0.002,34.912
0.9,20,16,2.718,2.128,2.026,2.849,0.002,39.625
0.9,20,20,3.265,2.147,2.334,3.202,0.002,44.333
0.9,20,24,3.971,2.157,2.75,3.667,0.002,49.036
0.9,20,28,5.108,2.158,3.497,4.397,0.002,53.731
0.9,20,32,6.58,2.151,4.441,5.414,0.002,58.418
0.9,20,36,8.007,2.134,5.224,6.545,0.002,63.092
0.9,20,40,9.399,2.107,5.846,7.776,0.002,67.749
0.9,30,-40,-9.129,1.384,-6.104,6.68,0.002,-16.074
0.9,30,-36,-7.332,1.467,-5.069,5.272,0.002,-11.37
0.9,30,-32,-5.52,1.557,-3.856,4.048,0.002,-6.663
0.9,30,-28,-3.695,1.65,-2.488,3.021,0.002,-1.95
0.9,30,-24,-2.248,1.745,-1.344,2.366,0.002,2.8
0.9,30,-20,-1.282,1.838,-0.576,2.05,0.002,7.473
0.9,30,-16,-0.528,1.93,0.025,1.912,0.002,12.203
0.9,30,-12,0.092,2.017,0.509,1.89,0.002,16.93
0.9,30,-8,0.607,2.098,0.893,1.953,0.002,21.657
0.9,30,-4,1.024,2.169,1.173,2.074,0.002,26.384
